region,option_1,option_2,option_3,year,value
R2,A1,B2,B3,1965,5.071000432
R3,A1,B2,B3,1965,2.659442284
R4,A1,B2,B3,1965,46.69798998
R1,A1,B2,C3,1965,15.53765388
R2,A1,B2,C3,1965,47.07260418
R3,A1,B2,C3,1965,70.47768874
R4,A1,B2,C3,1965,61.19135601
R1,A1,C2,C3,1965,2.016432504
R2,A1,C2,C3,1965,72.99847473
R3,A1,C2,C3,1965,6.603810435
R4,A1,C2,C3,1965,20.29790562
R1,B1,B2,B3,1965,50.3585175
R2,B1,B2,B3,1965,53.69569281
R3,B1,B2,B3,1965,9.765107639
R4,B1,B2,B3,1965,31.77900522
R1,B1,B2,C3,1965,54.45655673
R2,B1,B2,C3,1965,36.16002976
R3,B1,B2,C3,1965,85.00553426
R4,B1,B2,C3,1965,17.6281142
R1,B1,C2,C3,1965,8.464194071
R2,B1,C2,C3,1965,3.625207472
R3,B1,C2,C3,1965,28.77040761
R4,B1,C2,C3,1965,69.09005414
R1,C1,C2,C3,1965,9.113461175
R2,C1,C2,C3,1965,72.13152288
R3,C1,C2,C3,1965,9.357606661
R4,C1,C2,C3,1965,13.29408136
R1,A1,A2,A3,1966,5.408196435
R2,A1,A2,A3,1966,13.14148163
R3,A1,A2,A3,1966,5.626080508
R4,A1,A2,A3,1966,7.01794197
R1,A1,A2,B3,1966,60.97615818
R2,A1,A2,B3,1966,22.87570325
R3,A1,A2,B3,1966,0.247785644
R4,A1,A2,B3,1966,63.8014503
R1,A1,A2,C3,1966,72.2287871
R2,A1,A2,C3,1966,4.415690196
R3,A1,A2,C3,1966,1.068123653
R4,A1,A2,C3,1966,53.01605658
R1,A1,B2,B3,1966,72.12472806
R2,A1,B2,B3,1966,45.70409227
R3,A1,B2,B3,1966,3.6262107
R4,A1,B2,B3,1966,2.953002223
R1,A1,B2,C3,1966,12.09737916
R2,A1,B2,C3,1966,2.136077154
R3,A1,B2,C3,1966,63.72932242
R4,A1,B2,C3,1966,10.75291226
R1,A1,C2,C3,1966,17.09685697
R2,A1,C2,C3,1966,59.71713001
R3,A1,C2,C3,1966,14.2544627
R4,A1,C2,C3,1966,31.02779403
R1,B1,B2,B3,1966,17.12603313
R2,B1,B2,B3,1966,6.996891944
R3,B1,B2,B3,1966,6.594219065
R4,B1,B2,B3,1966,53.05422421
R1,B1,B2,C3,1966,6.112827147
R2,B1,B2,C3,1966,32.42258483
R3,B1,B2,C3,1966,16.09137829
R4,B1,B2,C3,1966,25.8578161
R1,B1,C2,C3,1966,24.62941548
R2,B1,C2,C3,1966,4.952298112
R3,B1,C2,C3,1966,4.262175711
R4,B1,C2,C3,1966,5.32230812
R1,C1,C2,C3,1966,60.7303598
R2,C1,C2,C3,1966,18.91838541
R3,C1,C2,C3,1966,26.84279758
R4,C1,C2,C3,1966,72.47344166
R1,A1,A2,A3,1967,1.168378749
R2,A1,A2,A3,1967,11.37010176
R3,A1,A2,A3,1967,41.75364942
R4,A1,A2,A3,1967,59.02419445
R1,A1,A2,B3,1967,1.79580668
R2,A1,A2,B3,1967,49.67246809
R3,A1,A2,B3,1967,15.10754278
R4,A1,A2,B3,1967,61.37879944
R1,A1,A2,C3,1967,20.5961031
R2,A1,A2,C3,1967,71.41122307
R3,A1,A2,C3,1967,10.79700204
R4,A1,A2,C3,1967,5.330733999
R1,A1,B2,B3,1967,42.8653381
R2,A1,B2,B3,1967,15.36142772
R3,A1,B2,B3,1967,12.91562232
R4,A1,B2,B3,1967,13.69849543
R1,A1,B2,C3,1967,63.54445222
R2,A1,B2,C3,1967,0.01873641
R3,A1,B2,C3,1967,13.55969808
R4,A1,B2,C3,1967,19.51347554
R1,A1,C2,C3,1967,11.7477077
R2,A1,C2,C3,1967,72.23216914
R3,A1,C2,C3,1967,8.520603034
R4,A1,C2,C3,1967,21.20702027
R1,B1,B2,B3,1967,23.23484539
R2,B1,B2,B3,1967,87.79525999
R3,B1,B2,B3,1967,17.44282242
R4,B1,B2,B3,1967,56.93583454
R1,B1,B2,C3,1967,17.3117827
R2,B1,B2,C3,1967,4.861655678
R3,B1,B2,C3,1967,62.2115373
R4,B1,B2,C3,1967,11.60197303
R1,B1,C2,C3,1967,48.55667401
R2,B1,C2,C3,1967,36.28939708
R3,B1,C2,C3,1967,76.98883759
R4,B1,C2,C3,1967,26.20476363
R1,C1,C2,C3,1967,16.33917003
R2,C1,C2,C3,1967,2.224275613
R3,C1,C2,C3,1967,65.69483337
R4,C1,C2,C3,1967,1.176916229
R1,A1,A2,A3,1968,27.03088066
R2,A1,A2,A3,1968,33.62694143
R3,A1,A2,A3,1968,8.355130855
R4,A1,A2,A3,1968,9.704188965
R1,A1,A2,B3,1968,26.40811976
R2,A1,A2,B3,1968,18.89866924
R3,A1,A2,B3,1968,35.94257088
R4,A1,A2,B3,1968,37.245378
R1,A1,A2,C3,1968,26.22643855
R2,A1,A2,C3,1968,16.31481949
R3,A1,A2,C3,1968,11.5785148
R4,A1,A2,C3,1968,44.48347364
R1,A1,B2,B3,1968,35.49820526
R2,A1,B2,B3,1968,16.0528347
R3,A1,B2,B3,1968,24.72522145
R4,A1,B2,B3,1968,91.89828552
R1,A1,B2,C3,1968,4.663723057
R2,A1,B2,C3,1968,7.067767431
R3,A1,B2,C3,1968,34.4506853
R4,A1,B2,C3,1968,34.58349338
R1,A1,C2,C3,1968,23.3170072
R2,A1,C2,C3,1968,34.16720005
R3,A1,C2,C3,1968,6.633530714
R4,A1,C2,C3,1968,14.8719792
R1,B1,B2,B3,1968,0.129614582
R2,B1,B2,B3,1968,61.19052845
R3,B1,B2,B3,1968,53.76084206
R4,B1,B2,B3,1968,0.727644422
R1,B1,B2,C3,1968,6.467869747
R2,B1,B2,C3,1968,17.18335123
R3,B1,B2,C3,1968,80.06722138
R4,B1,B2,C3,1968,76.79443654
R1,B1,C2,C3,1968,13.0009965
R2,B1,C2,C3,1968,86.18860609
R3,B1,C2,C3,1968,59.94582465
R4,B1,C2,C3,1968,35.33070462
R1,C1,C2,C3,1968,66.4490692
R2,C1,C2,C3,1968,4.053834237
R3,C1,C2,C3,1968,77.00873533
R4,C1,C2,C3,1968,38.42070306
R1,A1,A2,A3,1969,7.313227037
R2,A1,A2,A3,1969,29.8903467
R3,A1,A2,A3,1969,9.033498381
R4,A1,A2,A3,1969,25.900705
R1,A1,A2,B3,1969,1.028820893
R2,A1,A2,B3,1969,4.829001769
R3,A1,A2,B3,1969,57.85266878
R4,A1,A2,B3,1969,10.206111
R1,A1,A2,C3,1969,9.087109516
R2,A1,A2,C3,1969,26.85573171
R3,A1,A2,C3,1969,12.49354363
R4,A1,A2,C3,1969,1.517913813
R1,A1,B2,B3,1969,37.47618813
R2,A1,B2,B3,1969,10.2911729
R3,A1,B2,B3,1969,58.4827068
R4,A1,B2,B3,1969,2.291906972
R1,A1,B2,C3,1969,71.52844921
R2,A1,B2,C3,1969,0.824251861
R3,A1,B2,C3,1969,19.50744731
R4,A1,B2,C3,1969,11.88100208
R1,A1,C2,C3,1969,24.74009692
R2,A1,C2,C3,1969,72.77071734
R3,A1,C2,C3,1969,34.66095111
R4,A1,C2,C3,1969,50.95473347
R1,B1,B2,B3,1969,50.44242853
R2,B1,B2,B3,1969,17.76851385
R3,B1,B2,B3,1969,7.991416451
R4,B1,B2,B3,1969,57.27121388
R1,B1,B2,C3,1969,35.60313854
R2,B1,B2,C3,1969,22.52064068
R3,B1,B2,C3,1969,32.64785566
R4,B1,B2,C3,1969,73.38717781
R1,B1,C2,C3,1969,56.84674354
R2,B1,C2,C3,1969,5.314430883
R3,B1,C2,C3,1969,9.311376021
R4,B1,C2,C3,1969,26.89799945
R1,C1,C2,C3,1969,12.3143532
R2,C1,C2,C3,1969,18.36493112
R3,C1,C2,C3,1969,14.57964632
R4,C1,C2,C3,1969,18.13060272
